name,reviews,rating,address,postcode,price range,amenities
Hotel Cotton House,49,4.5,"Gran Via de les Corts Catalanes, 670",08010 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Villa Emilia,25,5.0,"Carrer de Calàbria, 115",08015 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Allowed
Alma Barcelona,28,4.5,"Carrer de Mallorca, 271",08008 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel 1898,77,4.5,"La Rambla, 109",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
The Serras,14,5.0,"Passeig de Colom, 9",08002 Barcelona,High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Barceló Raval,54,4.5,"Rambla del Raval, 17 - 21",08001 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Olivia Balmes,28,4.5,"Carrer de  Balmes, 117",08008 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Casa Fuster,23,4.5,"Passeig de Gràcia, 132",08008 Barcelona,High,Accepts Credit Cards Free Wi-Fi
Hotel Duquesa de Cardona,31,4.5,"Passeig de Colom, 12",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel Arts Barcelona,101,4.0,Marina 19-21,08005 Barcelona,High,Accepts Credit Cards Paid Wi-Fi Dogs Not Allowed
Do,13,4.5,"Plaça Reial, 1",08002 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Pulitzer Barcelona,40,4.0,"Carrer Bergara, 8",08002 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Majestic,39,4.0,"Passeig de Gracia, 68",08007 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Renaissance Barcelona Hotel,53,4.0,"Pau Claris, 122",08009 Barcelona,Medium-High,Accepts Credit Cards Paid Wi-Fi Dogs Not Allowed
Hotel Barcelona Universal,41,4.0,"Avinguda Paral-lel, 76",08001 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Claris,30,4.0,"Carrer Pau Claris, 150",08009 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Allowed
Grand Hotel Central,38,4.0,"Vía Laietana, 30",08003 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Wilson,10,5.0,"Avinguda Diagonal, 568",08021 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Casa Bonay,14,4.5,"Gran Via de Les Corts Catalanes, 700",08010 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Renaissance Barcelona Fira Hotel,35,4.0,"Plaza Europa, 50-52",08902 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Praktik,18,4.5,"Carrer de Provença, 279",08037 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Porta Fira,27,4.0,"Plaza Europa, 45",08908 Hospitalet de Llobregat,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Colón,41,4.0,"Avinguda Catedral, 7",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel Jazz,21,4.5,"Pelai, 3, Eixample",08001 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
B Hotel,14,4.5,"Gran Via de les Corts Catalanes, 389-391",08015 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Catalonia Catedral,7,5.0,"Carrer dels Arcs, 10",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Arai Aparthotel,10,4.5,"Carrer d'Avinyó, 30",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel Bagués,8,5.0,"La Rambla, 105",08002 Barcelona,High,Accepts Credit Cards Free Wi-Fi Dogs Allowed
K+K Hotel Picasso Barcelona,20,4.5,"Passeig de Picasso, 26",08003 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
The Barcelona EDITION,21,4.0,"Avinguda de Francesc Cambó, 14",08003 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Hotel Mercer,13,4.5,"Carrer dels Lledó, 7",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel Murmuri,17,4.5,"Rambla de Catalunya, 104",08008 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Banys Oriental,12,4.5,"Carrer de l'Argenteria, 37",08028 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hostal Grau Barcelona,16,4.5,"Carrer Ramelleres, 27",08001 Barcelona,Low,Accepts Credit Cards Free Wi-Fi
Aparthotel Silver,11,4.5,"Carrer de Bretón de los Herreros, 26",08012 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Room Mate Anna Hotel,9,4.5,"Carrer d'Aragó, 271",08007 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Two Hotel,16,4.5,"Carrer de Calàbria, 90-92",08015 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Almanac,7,5.0,"Gran Via de les Corts Catalanes, 619",08007 Barcelona,null,Accepts Credit Cards Free Wi-Fi
Hotel Sofia,6,5.0,"Plaça de Pius XII, 4",08028 Barcelona,null,na
Alexandra Barcelona Hotel,42,4.0,"Carrer de Mallorca, 251",08008 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Hotel Barcelona Catedral,14,4.5,"Carrer dels Capellans, 4",08002 Barcelona,High,Accepts Credit Cards Free Wi-Fi
Hotel NH Collection Barcelona Gran Hotel Calderón,24,4.0,"Rambla de Catalunya, 26",08007 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Mandarin Oriental,39,3.5,"Passeig de Gràcia, 38-40",08007 Barcelona,High,Accepts Credit Cards Free Wi-Fi
Neri,21,4.0,"Carrer de Sant Sever, 5",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel Continental Barcelona,12,4.5,"Paseo la Rambla, 138",08002 Barcelona,Low,Accepts Credit Cards Free Wi-Fi
Royal Ramblas Hotel,14,4.0,117 La Rambla,08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
The Wittmore,8,4.5,"Carrer de Riudarenes, 7",08002 Barcelona,Medium-High,Accepts Credit Cards Paid Wi-Fi
Hilton Barcelona Hotel,44,3.5,"Avinguda Diagonal, 589-591",08014 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Barceló Sants,21,4.0,"Plaça dels Països Catalans, s/n",08014 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
The Mirror Hotel,17,4.0,"Carrer de Còrsega, 255",08036 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Musik Boutique,11,5.0,"Carrer de Sant Pere Més Baix, 62",08003 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Acevi Villarroel,9,4.5,Calle Villarroel 106,08011 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Ayre Roselon,7,4.5,Rossello 390,08025,Low,Accepts Credit Cards Free Wi-Fi
Hotel H10,7,4.5,"Plaça d'Urquinaona, 2",08010 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Cram,12,4.5,"Carrer d'Aribau, 54",08011 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Yurbban Passage,9,4.5,"Carrer de Trafalgar, 26",08003 Barcelona,null,Accepts Credit Cards Free Wi-Fi
Yurbban Trafalgar,15,4.0,"Carrer  de Trafalgar, 30",08010 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Pullman,22,4.0,"Avinguda del Litoral, 10",08005 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hesperia Presidente,14,4.0,Avinguda Diagonal 570,08021 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel Ohla,20,4.0,"Via Laietana, 49",08003 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Ayre Hotel Rosellón,10,4.5,"Carrer del Roselló, 390",08025 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Sixty Two,14,4.0,"Passeig de Gràcia, 62",08007 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Four Points by Sheraton Barcelona Diagonal,25,3.5,"Avenida Diagonal, 161",08018 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
AC Hotel by Marriott Sants,15,4.0,"Passeig de Sant Antoni, 36-40",08014 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Room Mate Emma Hotel,11,4.0,"Carrer Rossello, 205",08008 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
AC Hotel by Marriott Irla,12,4.0,"Carrer Calvet, 40-42",08021 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Ibis,7,4.5,"Carrer de la Ciutat de Granada, 99",08018 Barcelona,Medium-Low,Accepts Credit Cards Paid Wi-Fi
Soho House,5,5.0,"Plaça del Duc de Medinaceli, 4",08002 Barcelona,High,Accepts Credit Cards Free Wi-Fi
Hotel Condes de Barcelona,15,4.0,"Passeig de Gràcia, 73",08008 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Best Western Premier Hotel Dante,9,4.0,"Carrer de Mallorca, 181",08036 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Praktik Rambla,13,4.5,"Rambla de Catalunya, 27",08007 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Novotel Barcelona City,13,4.0,"Avenida Diagonal, 201",08018 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
H10 Casanova,16,4.0,Gran Via de les Corte Catalanes 559,08011 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Vincci Gala 4,7,4.5,"Ronda Sant Pere, 32",08010 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Market,7,4.5,"Passatge Sant Antoni Abad, 10",08015 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Catalonia Born,10,4.0,"Calle Rec Comtal, 16",08003 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Advance,4,5.0,Calle de Sepúlveda 180,08011 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
na,na,5.0,na,na,null,na
Eurostars Grand Marina,30,3.5,"Moll de Barcelona, s/n",08039 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel Miramar,15,4.0,"Plaça Carlos Ibanez, 3",08038 Barcelona,High,Accepts Credit Cards Free Wi-Fi
Gallery Hotel,21,4.5,"Carrer del Roselló, 249",08008 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Sir Victor Hotel,24,4.0,"Carrer del Rosselló, 265",08008 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Andante Hotel,16,4.5,Av. de les Drassanes 23-25,08001 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Zenit Conde Borrell,12,4.0,"Carrer del Comte Borrell, 208",08029 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Balmes,8,4.5,"Carrer de Mallorca, 216",08008 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Allowed
Hotel Brummell,8,4.5,"Carrer Nou de la Rambla, 174",08004 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Reding,8,4.5,"Calle Gravina, 5",08001 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Nouvel,14,4.0,Santa Ana 20,08002 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel España Ramblas,17,3.5,"Carrer de San Pau, 9-11",08001 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Hotel Via Augusta,7,4.5,"Via Augusta, 63",08006 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Catalonia Square,5,5.0,"Ronda Sant Pere, 9",08010 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Vincci Bit,9,4.0,Carrer de Josep Pla 69,08019 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Gran Hotel Torre Catalunya,23,3.5,"Avinguda Roma, 2-4",08014 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Gran Hotel Havana,12,4.0,"Gran Via de les Corts Catalanes, 647",08010 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Hotel Barcelona 1882,5,4.5,"Carrer de Còrsega, 482",08025 Barcelona,null,na
Holiday Inn Express,15,3.5,"Carrer de Pallars, 203",08005 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel NH Collection Barcelona Pódium,6,4.5,"Carrer de Bailèn, 4-6",08010 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Room Mate Gerard,4,5.0,"Carrer Ausiàs March, 34",08010 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Axel,31,3.0,"Carrer d'Aribau, 33",08011 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Tryp  Apolo Hotel,34,3.0,"Avinguda del Paraŀlel, 57-59",08004 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Yeah Hostel,7,5.0,"Carrer de Girona, 176",08037 Barcelona,null,na
Hotel Curious,15,4.5,"Carrer Carme, 25",08001 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Chic&Basic Born,12,4.0,"Carrer de la Princesa, 50",08003 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Silken Concordia,10,4.0,"Avinguda del Parallel, 115,",08004 Barcelona,Medium-Low,Takes Reservations Offers Delivery No Takeout Accepts Credit Cards
Petit Palace Boqueria Garden,21,3.5,"Carrer de la Boqueria, 10",08002 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Allowed
ABaC Hotel,4,5.0,"Avinguda del Tibidabo, 1",08022 Barcelona,High,Accepts Credit Cards Free Wi-Fi
Hotel Astoria,8,4.0,"Carrer Paris, 203",08036 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Allowed
Hotel Regencia Colon,8,4.0,"Carrer Sagristans, 13/17",08002 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Praktik Garden,13,3.5,"Carrer de la Diputació, 325",08009 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Negresco Princess,11,3.5,"Carrer de Roger de Llúria, 14",08010 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
